Data: 2020-01-12
Materials                                           Mol_ID                                              AtomsNumber       CellAngle                   CellLength                   SuperCell     Elements
str_m2_o10_o16_pcu_sym.177                          str_m2_o10_o16_pcu_s_ID_86                          972               95.1400,78.0400,103.1600    22.4110,26.0580,26.9440      1,1,1         C,H,N,Cu,O          
str_m2_o10_o16_pcu_sym.178                          str_m2_o10_o16_pcu_s_ID_87                          810               94.0000,77.3700,103.1300    22.3080,26.0830,26.7200      1,1,1         C,H,N,Cu,O          
str_m2_o10_o16_pcu_sym.179                          str_m2_o10_o16_pcu_s_ID_88                          900               93.9500,77.2900,103.1400    22.2930,26.0690,26.7040      1,1,1         C,H,N,Cu,O          
str_m2_o10_o16_pcu_sym.18                           str_m2_o10_o16_pcu_s_ID_89                          900               93.9900,78.3500,103.1100    22.5090,26.0520,26.7130      1,1,1         C,H,N,Cu,O          
str_m2_o10_o16_pcu_sym.180                          str_m2_o10_o16_pcu_s_ID_90                          810               94.1000,77.4900,103.1100    22.2800,26.0730,26.9190      1,1,1         C,H,N,Cu,O          
str_m2_o10_o16_pcu_sym.181                          str_m2_o10_o16_pcu_s_ID_91                          846               96.4200,77.8500,103.7800    22.6010,26.1200,26.8140      1,1,1         C,H,N,Cu,O          
str_m2_o10_o16_pcu_sym.182                          str_m2_o10_o16_pcu_s_ID_92                          1008              97.3000,79.4300,101.9900    22.8990,25.9480,26.5930      1,1,1         C,H,N,Cu,O,S        
str_m2_o10_o16_pcu_sym.183                          str_m2_o10_o16_pcu_s_ID_93                          936               94.2200,79.0900,101.9500    22.3380,26.1850,26.9820      1,1,1         C,H,N,Cu,O,S        
str_m2_o10_o16_pcu_sym.184                          str_m2_o10_o16_pcu_s_ID_94                          846               94.0000,77.4400,103.1500    22.3430,26.0790,26.6340      1,1,1         C,H,N,Cu,O          
str_m2_o10_o16_pcu_sym.185                          str_m2_o10_o16_pcu_s_ID_95                          1008              95.0700,77.3100,103.1800    22.2100,26.1900,27.0100      1,1,1         C,H,N,Cu,O          
str_m2_o10_o16_pcu_sym.186                          str_m2_o10_o16_pcu_s_ID_96                          846               94.8200,78.3600,102.6600    22.4820,26.0940,26.6560      1,1,1         C,H,N,I,Cu,O        
str_m2_o10_o16_pcu_sym.187                          str_m2_o10_o16_pcu_s_ID_97                          1008              100.6200,80.0100,103.7800   22.8060,26.2630,27.0900      1,1,1         C,H,N,Cu,O          
str_m2_o10_o16_pcu_sym.188                          str_m2_o10_o16_pcu_s_ID_98                          810               94.7200,77.1500,103.4100    22.3470,26.0680,26.6550      1,1,1         C,H,N,Cu,O,Br       
str_m2_o10_o16_pcu_sym.189                          str_m2_o10_o16_pcu_s_ID_99                          864               96.1800,76.9900,103.5200    22.4300,26.4400,26.6700      1,1,1         C,H,N,Cu,O,Br       
str_m2_o10_o16_pcu_sym.19                           str_m2_o10_o16_pcu_s_ID_100                         882               94.0700,78.5000,103.0000    22.3920,26.0700,26.8570      1,1,1         C,H,N,Cu,O          
str_m2_o10_o16_pcu_sym.190                          str_m2_o10_o16_pcu_s_ID_101                         918               93.9900,77.2600,103.0900    22.2820,26.0680,26.8030      1,1,1         C,H,N,Cu,O          
str_m2_o10_o16_pcu_sym.191                          str_m2_o10_o16_pcu_s_ID_102                         918               94.4900,77.7000,102.9500    22.3990,26.0580,26.7500      1,1,1         C,H,N,Cu,O          
str_m2_o10_o16_pcu_sym.192                          str_m2_o10_o16_pcu_s_ID_103                         1008              94.7000,77.6600,103.2800    22.3910,26.1280,26.9650      1,1,1         C,H,N,Cu,O          
str_m2_o10_o16_pcu_sym.193                          str_m2_o10_o16_pcu_s_ID_104                         1332              93.1600,78.4600,102.8900    22.4790,26.0950,26.8410      1,1,1         C,H,N,Cu,O          
str_m2_o10_o16_pcu_sym.194                          str_m2_o10_o16_pcu_s_ID_105                         1080              94.5500,77.8000,102.8400    22.3580,26.0760,26.7590      1,1,1         C,H,N,Cu,O          
str_m2_o10_o16_pcu_sym.195                          str_m2_o10_o16_pcu_s_ID_106                         954               94.0500,77.1000,103.2800    22.3090,26.0650,26.5380      1,1,1         C,H,N,Cu,O          
str_m2_o10_o16_pcu_sym.196                          str_m2_o10_o16_pcu_s_ID_107                         954               94.5700,77.5100,102.9300    22.3710,26.0770,26.7880      1,1,1         C,H,N,Cu,O,Cl       
